query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
10a,114.740,591.000,103.000,22.000,46.830,453.000,37.000,0.000,-67.910,2.450
10b,35.070,367.000,24.000,4.000,20.830,451.000,12.000,0.000,-14.240,1.684
10c,36.940,747.000,19.000,0.000,32.830,650.000,22.000,0.000,-4.110,1.125
11a,58.950,700.000,47.000,31.000,21.340,687.000,11.000,0.000,-37.610,2.762
11b,6.560,625.000,0.000,0.000,7.900,620.000,3.000,0.000,1.340,0.830
11c,72.740,698.000,58.000,17.000,46.120,682.000,37.000,0.000,-26.620,1.577
11d,119.600,650.000,104.000,51.000,57.100,614.000,43.000,10.000,-62.500,2.095
12a,77.720,718.000,69.000,20.000,35.890,613.000,27.000,4.000,-41.830,2.166
12b,100.020,465.000,67.000,33.000,78.300,539.000,49.000,33.000,-21.720,1.277
12c,194.700,473.000,183.000,131.000,124.130,484.000,115.000,71.000,-70.570,1.569
13a,273.380,493.000,229.000,85.000,130.290,475.000,100.000,23.000,-143.090,2.098
13b,115.360,379.000,102.000,42.000,76.090,356.000,65.000,29.000,-39.270,1.516
13c,124.460,360.000,110.000,49.000,75.410,364.000,63.000,32.000,-49.050,1.650
13d,588.190,398.000,572.000,242.000,429.510,338.000,414.000,200.000,-158.680,1.369
14a,79.450,533.000,67.000,47.000,39.030,471.000,29.000,13.000,-40.420,2.036
14b,34.720,388.000,20.000,1.000,15.030,398.000,6.000,0.000,-19.690,2.310
14c,67.230,497.000,55.000,15.000,49.290,516.000,38.000,14.000,-17.940,1.364
15a,53.880,892.000,42.000,2.000,38.750,883.000,25.000,0.000,-15.130,1.390
15b,10.040,615.000,0.000,0.000,12.410,650.000,2.000,0.000,2.370,0.809
15c,126.840,933.000,112.000,47.000,53.240,862.000,40.000,0.000,-73.600,2.382
15d,170.060,823.000,155.000,74.000,75.540,770.000,59.000,5.000,-94.520,2.251
16a,239.190,910.000,215.000,45.000,152.640,868.000,129.000,8.000,-86.550,1.567
16b,1496.440,788.000,1460.000,702.000,1113.260,779.000,1089.000,635.000,-383.180,1.344
16c,521.120,773.000,496.000,177.000,309.170,768.000,288.000,79.000,-211.950,1.686
16d,528.230,875.000,500.000,208.000,387.420,1042.000,360.000,67.000,-140.810,1.363
17a,632.370,634.000,604.000,249.000,602.200,666.000,575.000,182.000,-30.170,1.050
17b,440.750,700.000,416.000,140.000,324.860,578.000,303.000,70.000,-115.890,1.357
17c,400.460,687.000,365.000,117.000,305.820,616.000,288.000,55.000,-94.640,1.309
17d,398.840,636.000,367.000,117.000,301.700,659.000,280.000,57.000,-97.140,1.322
17e,2341.080,631.000,2306.000,704.000,2551.210,700.000,2520.000,855.000,210.130,0.918
17f,454.980,598.000,433.000,120.000,864.260,649.000,845.000,261.000,409.280,0.526
18a,93.990,469.000,62.000,5.000,151.840,565.000,99.000,0.000,57.850,0.619
18b,34.190,474.000,23.000,5.000,29.720,470.000,22.000,2.000,-4.470,1.150
18c,126.750,456.000,116.000,55.000,168.300,496.000,156.000,89.000,41.550,0.753
19a,45.400,930.000,31.000,4.000,41.150,815.000,24.000,0.000,-4.250,1.103
19b,21.300,778.000,10.000,1.000,16.390,711.000,8.000,0.000,-4.910,1.300
19c,80.620,832.000,62.000,18.000,83.480,846.000,66.000,11.000,2.860,0.966
19d,750.970,859.000,730.000,316.000,1128.680,866.000,1108.000,592.000,377.710,0.665
1a,22.070,360.000,14.000,0.000,23.760,341.000,18.000,0.000,1.690,0.929
1b,11.020,390.000,5.000,1.000,9.000,404.000,4.000,0.000,-2.020,1.224
1c,7.780,372.000,2.000,1.000,6.130,433.000,2.000,0.000,-1.650,1.269
1d,9.880,379.000,2.000,1.000,8.470,382.000,2.000,0.000,-1.410,1.166
20a,178.970,472.000,156.000,7.000,277.580,474.000,253.000,14.000,98.610,0.645
20b,54.300,323.000,35.000,9.000,64.810,353.000,44.000,10.000,10.510,0.838
20c,218.580,464.000,193.000,38.000,319.610,500.000,287.000,59.000,101.030,0.684
21a,32.270,747.000,16.000,1.000,22.400,713.000,11.000,0.000,-9.870,1.441
21b,29.150,729.000,16.000,1.000,20.790,737.000,11.000,0.000,-8.360,1.402
21c,45.940,610.000,30.000,3.000,33.820,631.000,21.000,2.000,-12.120,1.358
22a,48.890,593.000,33.000,12.000,43.270,665.000,29.000,6.000,-5.620,1.130
22b,42.280,634.000,27.000,12.000,35.420,627.000,22.000,9.000,-6.860,1.194
22c,68.840,600.000,52.000,14.000,54.980,691.000,41.000,8.000,-13.860,1.252
22d,106.000,613.000,91.000,22.000,117.510,616.000,104.000,32.000,11.510,0.902
23a,32.650,902.000,20.000,1.000,11.220,848.000,1.000,0.000,-21.430,2.910
23b,39.050,603.000,24.000,14.000,15.270,593.000,3.000,0.000,-23.780,2.557
23c,39.110,1068.000,19.000,10.000,13.810,975.000,3.000,0.000,-25.300,2.832
24a,84.020,875.000,57.000,26.000,46.720,824.000,30.000,0.000,-37.300,1.798
