query_group,num_variants,old_avg_ms,new_avg_ms,avg_diff_ms,avg_speedup
1,4,12.688,11.840,-0.848,1.072
2,4,66.817,81.638,14.820,0.818
3,3,41.327,44.987,3.660,0.919
4,3,41.477,43.097,1.620,0.962
5,3,10.370,6.803,-3.567,1.524
6,6,204.023,183.782,-20.242,1.110
7,3,211.743,191.837,-19.907,1.104
8,4,599.222,620.638,21.415,0.965
9,4,214.988,183.645,-31.343,1.171
10,3,62.250,33.497,-28.753,1.858
11,4,64.462,33.115,-31.347,1.947
12,3,124.147,79.440,-44.707,1.563
13,4,275.348,177.825,-97.523,1.548
14,3,60.467,34.450,-26.017,1.755
15,4,90.205,44.985,-45.220,2.005
16,4,696.245,490.623,-205.623,1.419
17,6,778.080,825.008,46.928,0.943
18,3,84.977,116.620,31.643,0.729
19,4,224.573,317.425,92.852,0.707
20,3,150.617,220.667,70.050,0.683
21,3,35.787,25.670,-10.117,1.394
22,4,66.502,62.795,-3.707,1.059
23,3,36.937,13.433,-23.503,2.750
24,2,57.650,40.800,-16.850,1.413
25,3,150.627,78.030,-72.597,1.930
26,3,329.420,240.390,-89.030,1.370
27,3,44.653,23.110,-21.543,1.932
28,3,122.527,58.477,-64.050,2.095
29,3,75.097,46.150,-28.947,1.627
30,3,114.017,42.660,-71.357,2.673
31,3,112.707,47.333,-65.373,2.381
32,2,71.830,48.925,-22.905,1.468
33,3,50.603,34.333,-16.270,1.474
