query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
10a,46.830,453.000,37.000,0.000,30.850,367.000,20.000,0.000,-15.980,1.518
10b,20.830,451.000,12.000,0.000,19.560,358.000,11.000,0.000,-1.270,1.065
10c,32.830,650.000,22.000,0.000,21.110,719.000,7.000,0.000,-11.720,1.555
11a,21.340,687.000,11.000,0.000,20.980,637.000,9.000,2.000,-0.360,1.017
11b,7.900,620.000,3.000,0.000,3.110,348.000,0.000,0.000,-4.790,2.540
11c,46.120,682.000,37.000,0.000,18.930,457.000,13.000,0.000,-27.190,2.436
11d,57.100,614.000,43.000,10.000,30.960,502.000,21.000,1.000,-26.140,1.844
12a,35.890,613.000,27.000,4.000,23.190,533.000,14.000,0.000,-12.700,1.548
12b,78.300,539.000,49.000,33.000,26.090,388.000,1.000,0.000,-52.210,3.001
12c,124.130,484.000,115.000,71.000,59.890,369.000,50.000,23.000,-64.240,2.073
13a,130.290,475.000,100.000,23.000,76.110,489.000,30.000,0.000,-54.180,1.712
13b,76.090,356.000,65.000,29.000,31.260,232.000,22.000,0.000,-44.830,2.434
13c,75.410,364.000,63.000,32.000,33.340,255.000,25.000,0.000,-42.070,2.262
13d,429.510,338.000,414.000,200.000,185.990,271.000,171.000,95.000,-243.520,2.309
14a,39.030,471.000,29.000,13.000,17.990,479.000,11.000,3.000,-21.040,2.170
14b,15.030,398.000,6.000,0.000,17.840,260.000,12.000,0.000,2.810,0.842
14c,49.290,516.000,38.000,14.000,39.660,500.000,27.000,3.000,-9.630,1.243
15a,38.750,883.000,25.000,0.000,9.730,535.000,3.000,0.000,-29.020,3.983
15b,12.410,650.000,2.000,0.000,3.940,360.000,0.000,0.000,-8.470,3.150
15c,53.240,862.000,40.000,0.000,33.200,488.000,25.000,0.000,-20.040,1.604
15d,75.540,770.000,59.000,5.000,19.390,505.000,8.000,0.000,-56.150,3.896
16a,152.640,868.000,129.000,8.000,48.380,591.000,35.000,4.000,-104.260,3.155
16b,1113.260,779.000,1089.000,635.000,136.270,843.000,108.000,23.000,-976.990,8.170
16c,309.170,768.000,288.000,79.000,61.120,739.000,40.000,3.000,-248.050,5.058
16d,387.420,1042.000,360.000,67.000,79.040,634.000,59.000,6.000,-308.380,4.902
17a,602.200,666.000,575.000,182.000,285.410,451.000,266.000,35.000,-316.790,2.110
17b,324.860,578.000,303.000,70.000,279.950,528.000,261.000,28.000,-44.910,1.160
17c,305.820,616.000,288.000,55.000,283.610,576.000,268.000,27.000,-22.210,1.078
17d,301.700,659.000,280.000,57.000,288.660,627.000,262.000,15.000,-13.040,1.045
17e,2551.210,700.000,2520.000,855.000,265.930,479.000,249.000,31.000,-2285.280,9.594
