query_group,num_variants,old_avg_ms,new_avg_ms,avg_diff_ms,avg_speedup
1,4,11.840,6.215,-5.625,1.905
2,4,81.638,33.590,-48.048,2.430
3,3,44.987,33.043,-11.943,1.361
4,3,43.097,32.313,-10.783,1.334
5,3,6.803,8.027,1.223,0.848
6,6,183.782,49.323,-134.458,3.726
7,3,191.837,46.987,-144.850,4.083
8,4,620.638,39.947,-580.690,15.536
9,4,183.645,37.155,-146.490,4.943
10,3,33.497,23.840,-9.657,1.405
11,4,33.115,18.495,-14.620,1.790
12,3,79.440,36.390,-43.050,2.183
13,4,177.825,81.675,-96.150,2.177
14,3,34.450,25.163,-9.287,1.369
15,4,44.985,16.565,-28.420,2.716
16,4,490.623,81.203,-409.420,6.042
17,6,825.008,253.603,-571.405,3.253
18,3,116.620,54.323,-62.297,2.147
19,4,317.425,28.473,-288.952,11.148
20,3,220.667,115.187,-105.480,1.916
21,3,25.670,24.590,-1.080,1.044
22,4,62.795,32.145,-30.650,1.953
23,3,13.433,6.017,-7.417,2.233
24,2,40.800,20.100,-20.700,2.030
25,3,78.030,41.720,-36.310,1.870
26,3,240.390,51.393,-188.997,4.677
27,3,23.110,16.507,-6.603,1.400
28,3,58.477,38.367,-20.110,1.524
29,3,46.150,22.703,-23.447,2.033
30,3,42.660,24.027,-18.633,1.776
31,3,47.333,19.187,-28.147,2.467
32,2,48.925,27.060,-21.865,1.808
33,3,34.333,13.667,-20.667,2.512
