query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
10a,12.830,6353.000,2.000,0.000,46.830,453.000,37.000,0.000,34.000,0.274
10b,10.560,3568.000,0.000,0.000,20.830,451.000,12.000,0.000,10.270,0.507
10c,14.730,6100.000,3.000,0.000,32.830,650.000,22.000,0.000,18.100,0.449
11a,7.720,7245.000,1.000,0.000,21.340,687.000,11.000,0.000,13.620,0.362
11b,6.170,5918.000,1.000,0.000,7.900,620.000,3.000,0.000,1.730,0.781
11c,15.910,5992.000,3.000,0.000,46.120,682.000,37.000,0.000,30.210,0.345
11d,18.230,5770.000,5.000,0.000,57.100,614.000,43.000,10.000,38.870,0.319
12a,10.340,6081.000,0.000,0.000,35.890,613.000,27.000,4.000,25.550,0.288
12b,98.820,4686.000,25.000,0.000,78.300,539.000,49.000,33.000,-20.520,1.262
12c,25.780,4783.000,12.000,0.000,124.130,484.000,115.000,71.000,98.350,0.208
13a,118.560,5936.000,41.000,0.000,130.290,475.000,100.000,23.000,11.730,0.910
13b,27.330,5049.000,10.000,0.000,76.090,356.000,65.000,29.000,48.760,0.359
13c,26.670,3835.000,9.000,0.000,75.410,364.000,63.000,32.000,48.740,0.354
13d,95.490,3783.000,78.000,3.000,429.510,338.000,414.000,200.000,334.020,0.222
14a,9.600,5048.000,3.000,0.000,39.030,471.000,29.000,13.000,29.430,0.246
14b,5.530,3767.000,0.000,0.000,15.030,398.000,6.000,0.000,9.500,0.368
14c,18.780,4958.000,10.000,0.000,49.290,516.000,38.000,14.000,30.510,0.381
15a,9.640,7152.000,2.000,0.000,38.750,883.000,25.000,0.000,29.110,0.249
15b,9.810,6027.000,3.000,0.000,12.410,650.000,2.000,0.000,2.600,0.790
15c,16.670,9267.000,4.000,0.000,53.240,862.000,40.000,0.000,36.570,0.313
15d,23.020,9040.000,3.000,0.000,75.540,770.000,59.000,5.000,52.520,0.305
16a,59.840,8874.000,25.000,0.000,152.640,868.000,129.000,8.000,92.800,0.392
16b,172.590,7496.000,138.000,9.000,1113.260,779.000,1089.000,635.000,940.670,0.155
16c,78.560,7635.000,42.000,0.000,309.170,768.000,288.000,79.000,230.610,0.254
16d,80.140,8750.000,45.000,0.000,387.420,1042.000,360.000,67.000,307.280,0.207
