query_group,num_variants,old_avg_ms,new_avg_ms,avg_diff_ms,avg_speedup
1,4,7.798,11.840,4.042,0.659
2,4,18.540,81.638,63.098,0.227
3,3,10.957,44.987,34.030,0.244
4,3,12.523,43.097,30.573,0.291
5,3,4.497,6.803,2.307,0.661
6,6,59.015,183.782,124.767,0.321
7,3,68.713,191.837,123.123,0.358
8,4,100.062,620.638,520.575,0.161
9,4,45.068,183.645,138.578,0.245
10,3,12.707,33.497,20.790,0.379
11,4,12.008,33.115,21.108,0.363
12,3,44.980,79.440,34.460,0.566
13,4,67.013,177.825,110.812,0.377
14,3,11.303,34.450,23.147,0.328
15,4,14.785,44.985,30.200,0.329
16,4,97.782,490.623,392.840,0.199
17,6,98.187,825.008,726.822,0.119
18,3,47.213,116.620,69.407,0.405
19,4,27.512,317.425,289.913,0.087
20,3,75.233,220.667,145.433,0.341
21,3,10.443,25.670,15.227,0.407
22,4,18.363,62.795,44.433,0.292
23,3,13.163,13.433,0.270,0.980
24,2,17.380,40.800,23.420,0.426
25,3,24.373,78.030,53.657,0.312
26,3,79.943,240.390,160.447,0.333
27,3,9.597,23.110,13.513,0.415
28,3,25.347,58.477,33.130,0.433
29,3,20.603,46.150,25.547,0.446
30,3,21.627,42.660,21.033,0.507
31,3,22.737,47.333,24.597,0.480
32,2,13.515,48.925,35.410,0.276
33,3,19.673,34.333,14.660,0.573
