query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
10a,12.830,6353.000,2.000,0.000,132.160,2160.000,107.000,37.000,119.330,0.097
10b,10.560,3568.000,0.000,0.000,25.010,1737.000,8.000,0.000,14.450,0.422
10c,14.730,6100.000,3.000,0.000,28.560,2180.000,12.000,0.000,13.830,0.516
11a,7.720,7245.000,1.000,0.000,26.650,3399.000,12.000,2.000,18.930,0.290
11b,6.170,5918.000,1.000,0.000,12.570,2074.000,3.000,0.000,6.400,0.491
11c,15.910,5992.000,3.000,0.000,69.570,2030.000,45.000,21.000,53.660,0.229
11d,18.230,5770.000,5.000,0.000,54.060,2017.000,27.000,8.000,35.830,0.337
12a,10.340,6081.000,0.000,0.000,63.020,730.000,39.000,13.000,52.680,0.164
12b,98.820,4686.000,25.000,0.000,81.350,1848.000,40.000,14.000,-17.470,1.215
12c,25.780,4783.000,12.000,0.000,207.160,2339.000,187.000,123.000,181.380,0.124
13a,118.560,5936.000,41.000,0.000,280.120,2035.000,218.000,94.000,161.560,0.423
13b,27.330,5049.000,10.000,0.000,129.220,3776.000,111.000,58.000,101.890,0.211
13c,26.670,3835.000,9.000,0.000,113.910,425.000,88.000,38.000,87.240,0.234
13d,95.490,3783.000,78.000,3.000,575.230,1836.000,550.000,218.000,479.740,0.166
14a,9.600,5048.000,3.000,0.000,60.190,548.000,39.000,26.000,50.590,0.159
14b,5.530,3767.000,0.000,0.000,35.420,389.000,13.000,4.000,29.890,0.156
14c,18.780,4958.000,10.000,0.000,138.510,2048.000,101.000,86.000,119.730,0.136
15a,9.640,7152.000,2.000,0.000,64.150,4934.000,30.000,5.000,54.510,0.150
15b,9.810,6027.000,3.000,0.000,14.940,637.000,2.000,0.000,5.130,0.657
15c,16.670,9267.000,4.000,0.000,116.830,998.000,85.000,19.000,100.160,0.143
15d,23.020,9040.000,3.000,0.000,147.160,3633.000,116.000,56.000,124.140,0.156
16a,59.840,8874.000,25.000,0.000,240.720,917.000,202.000,21.000,180.880,0.249
16b,172.590,7496.000,138.000,9.000,1132.640,2560.000,1078.000,520.000,960.050,0.152
16c,78.560,7635.000,42.000,0.000,577.040,2522.000,531.000,202.000,498.480,0.136
16d,80.140,8750.000,45.000,0.000,423.790,871.000,373.000,118.000,343.650,0.189
17a,72.280,6287.000,47.000,0.000,530.540,3737.000,469.000,168.000,458.260,0.136
17b,58.360,6400.000,34.000,0.000,437.580,3412.000,400.000,112.000,379.220,0.133
17c,70.270,6502.000,37.000,0.000,192.520,2116.000,171.000,33.000,122.250,0.365
17d,73.040,6042.000,48.000,1.000,204.170,604.000,183.000,28.000,131.130,0.358
17e,172.190,6195.000,134.000,7.000,1132.360,583.000,1108.000,216.000,960.170,0.152
