query_group,num_variants,old_avg_ms,new_avg_ms,avg_diff_ms,avg_speedup
1,4,7.798,12.637,4.840,0.617
2,4,18.540,120.978,102.438,0.153
3,3,10.957,72.893,61.937,0.150
4,3,12.523,74.020,61.497,0.169
5,3,4.497,17.627,13.130,0.255
6,6,59.015,163.153,104.138,0.362
7,3,68.713,199.900,131.187,0.344
8,4,100.062,476.495,376.433,0.210
9,4,45.068,218.928,173.860,0.206
10,3,12.707,61.910,49.203,0.205
11,4,12.008,40.712,28.705,0.295
12,3,44.980,117.177,72.197,0.384
13,4,67.013,274.620,207.608,0.244
14,3,11.303,78.040,66.737,0.145
15,4,14.785,85.770,70.985,0.172
16,4,97.782,593.548,495.765,0.165
17,6,98.187,487.510,389.323,0.201
18,3,47.213,78.387,31.173,0.602
19,4,27.512,132.465,104.953,0.208
20,3,75.233,146.740,71.507,0.513
21,3,10.443,34.180,23.737,0.306
22,4,18.363,54.965,36.603,0.334
23,3,13.163,35.830,22.667,0.367
24,2,17.380,66.020,48.640,0.263
25,3,24.373,109.863,85.490,0.222
26,3,79.943,288.977,209.033,0.277
27,3,9.597,59.833,50.237,0.160
28,3,25.347,100.030,74.683,0.253
29,3,20.603,99.490,78.887,0.207
30,3,21.627,108.527,86.900,0.199
31,3,22.737,83.850,61.113,0.271
32,2,13.515,92.495,78.980,0.146
33,3,19.673,64.557,44.883,0.305
