query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
10a,12.830,6353.000,2.000,0.000,72.850,2208.000,52.000,8.000,60.020,0.176
10b,10.560,3568.000,0.000,0.000,46.890,2087.000,28.000,7.000,36.330,0.225
10c,14.730,6100.000,3.000,0.000,56.710,2288.000,36.000,0.000,41.980,0.260
11a,7.720,7245.000,1.000,0.000,68.020,3800.000,38.000,26.000,60.300,0.113
11b,6.170,5918.000,1.000,0.000,9.870,2656.000,0.000,0.000,3.700,0.625
11c,15.910,5992.000,3.000,0.000,129.710,2377.000,85.000,26.000,113.800,0.123
11d,18.230,5770.000,5.000,0.000,90.660,2726.000,56.000,20.000,72.430,0.201
12a,10.340,6081.000,0.000,0.000,91.260,680.000,55.000,23.000,80.920,0.113
12b,98.820,4686.000,25.000,0.000,111.540,2449.000,67.000,41.000,12.720,0.886
12c,25.780,4783.000,12.000,0.000,146.970,2215.000,110.000,65.000,121.190,0.175
13a,118.560,5936.000,41.000,0.000,277.110,2399.000,224.000,53.000,158.550,0.428
13b,27.330,5049.000,10.000,0.000,126.670,3707.000,103.000,40.000,99.340,0.216
13c,26.670,3835.000,9.000,0.000,138.090,427.000,124.000,73.000,111.420,0.193
13d,95.490,3783.000,78.000,3.000,600.360,2158.000,574.000,281.000,504.870,0.159
14a,9.600,5048.000,3.000,0.000,43.560,521.000,29.000,13.000,33.960,0.220
14b,5.530,3767.000,0.000,0.000,28.020,403.000,18.000,0.000,22.490,0.197
14c,18.780,4958.000,10.000,0.000,136.170,2404.000,98.000,56.000,117.390,0.138
15a,9.640,7152.000,2.000,0.000,62.650,5375.000,29.000,4.000,53.010,0.154
15b,9.810,6027.000,3.000,0.000,10.600,646.000,0.000,0.000,0.790,0.925
15c,16.670,9267.000,4.000,0.000,125.380,875.000,76.000,18.000,108.710,0.133
15d,23.020,9040.000,3.000,0.000,188.740,4304.000,136.000,80.000,165.720,0.122
