query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
10b,10.560,3568.000,0.000,0.000,86.200,839.000,42.000,15.000,75.640,0.123
14b,5.530,3767.000,0.000,0.000,28.560,785.000,16.000,3.000,23.030,0.194
15d,23.020,9040.000,3.000,0.000,250.830,901.000,160.000,65.000,227.810,0.092
16b,172.590,7496.000,138.000,9.000,1738.330,1218.000,1502.000,721.000,1565.740,0.099
17c,70.270,6502.000,37.000,0.000,579.540,785.000,353.000,85.000,509.270,0.121
18c,29.040,5218.000,14.000,0.000,269.970,614.000,254.000,164.000,240.930,0.108
20c,88.640,5408.000,50.000,0.000,774.770,902.000,335.000,54.000,686.130,0.114
21a,12.230,7155.000,3.000,0.000,56.330,1231.000,40.000,22.000,44.100,0.217
27a,8.510,8437.000,0.000,0.000,62.530,1394.000,43.000,21.000,54.020,0.136
29b,15.170,8689.000,4.000,0.000,123.390,1375.000,18.000,1.000,108.220,0.123
29c,33.420,11340.000,9.000,0.000,264.430,1455.000,158.000,71.000,231.010,0.126
32b,14.120,5753.000,2.000,0.000,110.560,1094.000,93.000,24.000,96.440,0.128
5b,1.480,1174.000,0.000,0.000,14.010,558.000,0.000,0.000,12.530,0.106
8c,292.170,6111.000,252.000,20.000,915.390,765.000,859.000,450.000,623.220,0.319
