query_group,num_variants,old_avg_ms,new_avg_ms,avg_diff_ms,avg_speedup
5,1,1.480,14.010,12.530,0.106
8,1,292.170,915.390,623.220,0.319
10,1,10.560,86.200,75.640,0.123
14,1,5.530,28.560,23.030,0.194
15,1,23.020,250.830,227.810,0.092
16,1,172.590,1738.330,1565.740,0.099
17,1,70.270,579.540,509.270,0.121
18,1,29.040,269.970,240.930,0.108
20,1,88.640,774.770,686.130,0.114
21,1,12.230,56.330,44.100,0.217
27,1,8.510,62.530,54.020,0.136
29,2,24.295,193.910,169.615,0.125
32,1,14.120,110.560,96.440,0.128
