query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
10a,132.160,2160.000,107.000,37.000,72.850,2208.000,52.000,8.000,-59.310,1.814
10b,25.010,1737.000,8.000,0.000,46.890,2087.000,28.000,7.000,21.880,0.533
10c,28.560,2180.000,12.000,0.000,56.710,2288.000,36.000,0.000,28.150,0.504
11a,26.650,3399.000,12.000,2.000,68.020,3800.000,38.000,26.000,41.370,0.392
11b,12.570,2074.000,3.000,0.000,9.870,2656.000,0.000,0.000,-2.700,1.274
11c,69.570,2030.000,45.000,21.000,129.710,2377.000,85.000,26.000,60.140,0.536
11d,54.060,2017.000,27.000,8.000,90.660,2726.000,56.000,20.000,36.600,0.596
12a,63.020,730.000,39.000,13.000,91.260,680.000,55.000,23.000,28.240,0.691
12b,81.350,1848.000,40.000,14.000,111.540,2449.000,67.000,41.000,30.190,0.729
12c,207.160,2339.000,187.000,123.000,146.970,2215.000,110.000,65.000,-60.190,1.410
13a,280.120,2035.000,218.000,94.000,277.110,2399.000,224.000,53.000,-3.010,1.011
13b,129.220,3776.000,111.000,58.000,126.670,3707.000,103.000,40.000,-2.550,1.020
13c,113.910,425.000,88.000,38.000,138.090,427.000,124.000,73.000,24.180,0.825
13d,575.230,1836.000,550.000,218.000,600.360,2158.000,574.000,281.000,25.130,0.958
14a,60.190,548.000,39.000,26.000,43.560,521.000,29.000,13.000,-16.630,1.382
14b,35.420,389.000,13.000,4.000,28.020,403.000,18.000,0.000,-7.400,1.264
14c,138.510,2048.000,101.000,86.000,136.170,2404.000,98.000,56.000,-2.340,1.017
15a,64.150,4934.000,30.000,5.000,62.650,5375.000,29.000,4.000,-1.500,1.024
15b,14.940,637.000,2.000,0.000,10.600,646.000,0.000,0.000,-4.340,1.409
15c,116.830,998.000,85.000,19.000,125.380,875.000,76.000,18.000,8.550,0.932
15d,147.160,3633.000,116.000,56.000,188.740,4304.000,136.000,80.000,41.580,0.780
16a,240.720,917.000,202.000,21.000,156.150,856.000,133.000,5.000,-84.570,1.542
16b,1132.640,2560.000,1078.000,520.000,643.450,2476.000,619.000,212.000,-489.190,1.760
16c,577.040,2522.000,531.000,202.000,290.830,2504.000,267.000,47.000,-286.210,1.984
16d,423.790,871.000,373.000,118.000,254.930,792.000,232.000,35.000,-168.860,1.662
17a,530.540,3737.000,469.000,168.000,296.750,4084.000,272.000,65.000,-233.790,1.788
17b,437.580,3412.000,400.000,112.000,240.140,4286.000,220.000,41.000,-197.440,1.822
17c,192.520,2116.000,171.000,33.000,202.150,2506.000,182.000,30.000,9.630,0.952
17d,204.170,604.000,183.000,28.000,206.620,573.000,186.000,30.000,2.450,0.988
17e,1132.360,583.000,1108.000,216.000,1084.290,2377.000,1062.000,235.000,-48.070,1.044
17f,427.890,2085.000,407.000,88.000,416.610,2300.000,397.000,83.000,-11.280,1.027
18a,91.300,2035.000,58.000,3.000,93.690,2295.000,61.000,3.000,2.390,0.974
18b,32.700,2052.000,22.000,4.000,35.580,2334.000,24.000,4.000,2.880,0.919
18c,111.160,2049.000,99.000,46.000,111.500,2361.000,99.000,38.000,0.340,0.997
19a,43.850,3861.000,25.000,2.000,40.880,4368.000,24.000,2.000,-2.970,1.073
19b,22.630,4028.000,10.000,2.000,22.380,4675.000,8.000,1.000,-0.250,1.011
19c,72.760,2299.000,53.000,12.000,77.270,2475.000,61.000,13.000,4.510,0.942
19d,390.620,3956.000,371.000,214.000,647.230,4396.000,626.000,238.000,256.610,0.604
1a,21.040,1727.000,15.000,0.000,23.370,5344.000,15.000,0.000,2.330,0.900
1b,9.840,2834.000,2.000,0.000,11.750,3846.000,5.000,0.000,1.910,0.837
1c,8.160,486.000,1.000,0.000,6.430,408.000,0.000,0.000,-1.730,1.269
1d,11.510,464.000,3.000,0.000,7.850,386.000,1.000,0.000,-3.660,1.466
