query_group,num_variants,old_avg_ms,new_avg_ms,avg_diff_ms,avg_speedup
1,4,7.798,12.350,4.552,0.631
2,4,18.540,111.500,92.960,0.166
3,3,10.957,70.840,59.883,0.155
4,3,12.523,71.283,58.760,0.176
5,3,4.497,13.637,9.140,0.330
6,6,59.015,177.623,118.608,0.332
7,3,68.713,206.740,138.027,0.332
8,4,100.062,459.257,359.195,0.218
9,4,45.068,218.483,173.415,0.206
10,3,12.707,58.817,46.110,0.216
11,4,12.008,74.565,62.557,0.161
12,3,44.980,116.590,71.610,0.386
13,4,67.013,285.558,218.545,0.235
14,3,11.303,69.250,57.947,0.163
15,4,14.785,96.843,82.058,0.153
16,4,97.782,336.340,238.558,0.291
17,6,98.187,407.760,309.573,0.241
18,3,47.213,80.257,33.043,0.588
19,4,27.512,196.940,169.428,0.140
20,3,75.233,232.673,157.440,0.323
21,3,10.443,78.870,68.427,0.132
22,4,18.363,138.787,120.425,0.132
23,3,13.163,40.903,27.740,0.322
24,2,17.380,67.740,50.360,0.257
25,3,24.373,141.810,117.437,0.172
26,3,79.943,300.110,220.167,0.266
27,3,9.597,62.927,53.330,0.153
28,3,25.347,101.890,76.543,0.249
29,3,20.603,88.320,67.717,0.233
30,3,21.627,113.870,92.243,0.190
31,3,22.737,107.103,84.367,0.212
32,2,13.515,66.720,53.205,0.203
33,3,19.673,66.737,47.063,0.295
