query_group,num_variants,old_avg_ms,new_avg_ms,avg_diff_ms,avg_speedup
1,4,12.637,12.350,-0.287,1.023
2,4,120.978,111.500,-9.478,1.085
3,3,72.893,70.840,-2.053,1.029
4,3,74.020,71.283,-2.737,1.038
5,3,17.627,13.637,-3.990,1.293
6,6,163.153,177.623,14.470,0.919
7,3,199.900,206.740,6.840,0.967
8,4,476.495,459.257,-17.238,1.038
9,4,218.928,218.483,-0.445,1.002
10,3,61.910,58.817,-3.093,1.053
11,4,40.712,74.565,33.852,0.546
12,3,117.177,116.590,-0.587,1.005
13,4,274.620,285.558,10.938,0.962
14,3,78.040,69.250,-8.790,1.127
15,4,85.770,96.843,11.073,0.886
16,4,593.548,336.340,-257.207,1.765
17,6,487.510,407.760,-79.750,1.196
18,3,78.387,80.257,1.870,0.977
19,4,132.465,196.940,64.475,0.673
20,3,146.740,232.673,85.933,0.631
21,3,34.180,78.870,44.690,0.433
22,4,54.965,138.787,83.822,0.396
23,3,35.830,40.903,5.073,0.876
24,2,66.020,67.740,1.720,0.975
25,3,109.863,141.810,31.947,0.775
26,3,288.977,300.110,11.133,0.963
27,3,59.833,62.927,3.093,0.951
28,3,100.030,101.890,1.860,0.982
29,3,99.490,88.320,-11.170,1.126
30,3,108.527,113.870,5.343,0.953
31,3,83.850,107.103,23.253,0.783
32,2,92.495,66.720,-25.775,1.386
33,3,64.557,66.737,2.180,0.967
